number ra1 raerr1(mas) dec1 decerr1(mas) ra2 raerr2(mas) dec2 decerr2(mas) zlens
WISE0326-3122 051.52869468946 0.7078 -31.38172978041 1.2656 051.52829064880 0.1913 -31.38153442377 0.3252 n
DESJ0544-5922 086.12769955108 0.3166 -59.37699524381 0.1748 086.12751385071 0.2314 -59.37733001001 0.2403 n
DESJ2250-6047 342.53233384773 2.5288 -60.79018936012 3.0099 342.53306935751 0.3696 -60.78977099815 0.4121 n
DESJ2337+0056 354.30705678760 1.0738 +00.93667275014 0.7037 354.30696462063 0.6525 +00.93631539197 0.4463 n
J0127-1441 021.78623927922 0.5538 -14.68874257228 0.3480 021.78538710330 0.8517 -14.68860762911 0.5313 n
J1540+4445 235.10761676351 0.4851 +44.75457739757 0.6346 235.10670555133 0.2924 +44.75492841740 0.3921 n
J2032-2358 308.15740588023 0.3129 -23.97290644234 0.2084 308.15682729431 0.3826 -23.97288275080 0.2687 n
A0326-3122 051.52869468946 0.7078 -31.38172978041 1.2656 051.52829064880 0.1913 -31.38153442377 0.3252 n
